title,genres,Awful,Bad,Average,Good,Excellent
Affliction (1997),Drama,0,0,2,1,0
Afro Samurai: Resurrection (2009),Animation,0,0,1,0,0
After the Wedding (Efter brylluppet) (2006),Drama,0,0,0,1,0
Against All Odds (1984),Romance,0,2,1,0,0
"Age of Innocence, The (1993)",Drama,0,3,4,5,3
"Agony and the Ecstasy, The (1965)",Drama,0,0,0,1,0
Aileen: Life and Death of a Serial Killer (2003),Documentary,0,0,1,1,0
"Air Up There, The (1994)",Comedy,0,4,2,0,0
Airheads (1994),Comedy,2,7,10,6,1
Airplane II: The Sequel (1982),Comedy,1,5,5,4,4
Airplane! (1980),Comedy,3,3,14,41,26
Airport '77 (1977),Drama,0,1,2,0,1
Airport (1970),Drama,1,0,2,0,0
Akeelah and the Bee (2006),Drama,0,0,1,3,1
Alan Partridge: Alpha Papa (2013),Comedy,0,0,0,1,0
Albatross (2011),Drama,0,0,1,0,0
Ali (2001),Drama,0,0,6,2,0
Ali G Indahouse (2002),Comedy,0,1,0,2,0
Alien from L.A. (1988),Sci-Fi,0,0,0,1,0
Alive (1993),Drama,0,2,4,2,1
All About Eve (1950),Drama,1,0,1,10,12
All About My Mother (Todo sobre mi madre) (1999),Drama,1,0,1,8,9
All Over the Guy (2001),Comedy,0,0,1,0,0
All Roads Lead to Rome (2016),Comedy,0,1,0,0,0
All Watched Over by Machines of Loving Grace (2011),Documentary,0,0,0,1,1
All or Nothing (2002),Drama,0,0,1,1,1
All the King's Men (1949),Drama,0,0,0,2,2
All the King's Men (2006),Drama,0,0,2,1,0
Almost Famous (2000),Drama,0,4,11,43,25
Almost an Angel (1990),Comedy,0,0,1,0,0
Alvarez Kelly (1966),Western,0,0,1,0,0
Always Watching: A Marble Hornets Story (2015),Horror,0,1,0,0,0
Amadeus (1984),Drama,0,1,10,29,36
Amanda Knox (2016),Documentary,0,0,0,1,0
Amazing Grace and Chuck (1987),Drama,0,0,0,1,0
"Amazing Transparent Man, The (1960)",Sci-Fi,0,0,0,1,0
Amen. (2002),Drama,0,0,0,3,0
American Fable (2017),Thriller,0,0,1,0,0
American Flyers (1985),Drama,0,1,0,0,1
American Gigolo (1980),Drama,1,2,3,2,0
American Grindhouse (2010),Documentary,0,0,0,1,0
American Hardcore (2006),Documentary,0,0,0,1,0
American Heist (2015),Action,0,1,0,0,0
American Me (1992),Drama,1,0,1,1,0
American Movie (1999),Documentary,0,0,1,4,1
American Pie 2 (2001),Comedy,5,7,10,15,8
American Pie Presents Beta House (American Pie 6: Beta House) (2007),Comedy,0,0,2,0,0
American Pie Presents: Band Camp (American Pie 4: Band Camp) (2005),Comedy,2,1,3,1,0
American Pie Presents: The Book of Love (American Pie 7: The Book of Love) (2009),Comedy,0,2,1,0,0
American Reunion (American Pie 4) (2012),Comedy,0,2,0,2,0
American Wedding (American Pie 3) (2003),Comedy,0,3,5,7,1
Amityville 1992: It's About Time (1992),Horror,1,2,0,0,0
Amityville 3-D (1983),Horror,1,2,0,0,0
"Amityville Curse, The (1990)",Horror,2,0,0,0,0
Amityville II: The Possession (1982),Horror,2,2,0,0,0
Amityville: A New Generation (1993),Horror,1,1,0,0,0
Amityville: Dollhouse (1996),Horror,2,1,0,0,0
Amos & Andrew (1993),Comedy,1,1,0,0,0
Amy (2015),Documentary,0,0,1,3,0
Analyze This (1999),Comedy,1,8,20,17,1
Anastasia (1956),Drama,0,0,0,1,0
Anchorman 2: The Legend Continues (2013),Comedy,0,1,3,6,1
Anchorman: The Legend of Ron Burgundy (2004),Comedy,0,1,12,29,15
And God Created Woman (Et Dieu... créa la femme) (1956),Drama,0,0,0,1,0
And the Band Played On (1993),Drama,0,0,1,1,0
"Andalusian Dog, An (Chien andalou, Un) (1929)",Fantasy,0,0,0,2,2
Andrew Dice Clay: Dice Rules (1991),Comedy,0,0,0,1,0
Android (1982),Sci-Fi,0,0,0,1,1
Angel Baby (1995),Drama,0,0,2,0,0
"Angel at My Table, An (1990)",Drama,0,0,0,1,0
Angela's Ashes (1999),Drama,0,0,2,1,0
Anger Management (2003),Comedy,1,6,12,11,4
"Angry Red Planet, The (1959)",Sci-Fi,0,0,0,0,1
Angus (1995),Comedy,0,1,3,3,0
Animal House (1978),Comedy,4,2,15,23,18
"Animal, The (2001)",Comedy,1,5,5,0,0
Anna Christie (1930),Drama,0,0,0,1,0
Anna Karenina (2012),Drama,0,0,1,0,0
Annabelle (2014),Horror,0,0,1,1,0
Annabelle: Creation (2017),Horror,0,0,0,1,0
Annapolis (2006),Drama,0,0,2,0,0
Anne Frank Remembered (1995),Documentary,0,0,2,1,2
Anne of the Thousand Days (1969),Drama,0,0,0,1,0
"Anniversary Party, The (2001)",Drama,0,0,1,1,1
Another Gay Movie (2006),Comedy,0,0,0,1,0
Another Woman (1988),Drama,0,0,0,0,1
Anti-Social (2015),Crime,0,1,0,0,0
Antonio Gaudí (1985),Documentary,0,0,0,1,0
Antwone Fisher (2002),Drama,0,0,3,5,1
Any Given Sunday (1999),Drama,1,3,7,7,0
Any Which Way You Can (1980),Comedy,0,2,0,0,0
Anything for Love (2016),Romance,0,1,0,0,0
"Apostle, The (1997)",Drama,1,0,4,2,0
Appaloosa (2008),Western,0,0,1,0,0
"Apple, The (Sib) (1998)",Drama,0,0,0,1,0
Applesauce (2015),Comedy,0,0,0,0,1
April Fool's Day (1986),Horror,2,2,0,0,0
April Morning (1988),Drama,0,0,1,0,0
Are We Done Yet? (2007),Comedy,0,1,0,0,0
Are You Scared? (2006),Horror,0,0,0,1,0
Ari Shaffir: Double Negative (2017),Comedy,0,0,0,1,0
Ariel (1988),Drama,0,1,0,1,0
Arlington Road (1999),Thriller,1,2,8,10,1
Arrival (2016),Sci-Fi,0,0,5,13,8
"Art of the Steal, The (2009)",Documentary,0,0,0,2,0
"Art of the Steal, The (2013)",Crime,0,0,1,2,0
Artemisia (1997),Drama,0,0,0,2,0
Arthur (2011),Comedy,0,2,1,3,0
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty (2000),Documentary,0,0,0,1,0
Ashes of Time (Dung che sai duk) (1994),Drama,0,0,0,1,0
Aspen Extreme (1993),Action,0,0,0,1,0
Asterix: The Land of the Gods (Astérix: Le domaine des dieux) (2014),Animation,0,0,0,2,0
"Astronaut Farmer, The (2007)",Drama,0,1,1,0,0
At First Sight (1999),Drama,0,3,4,1,0
Atomic Blonde (2017),Thriller,0,0,1,0,0
Attila (Attila Flagello di Dio) (1982),Action,0,0,1,0,0
Au revoir les enfants (1987),Drama,0,0,0,3,2
Audrey Rose (1977),Horror,0,1,0,0,0
Austin Powers in Goldmember (2002),Comedy,7,10,22,23,3
Autumn Sonata (Höstsonaten) (1978),Drama,0,0,0,1,3
"Autumn Tale, An (Conte d'automne) (1998)",Romance,0,0,0,3,0
Avalanche (1978),Action,1,0,1,1,0
Avalon (1990),Drama,0,0,1,0,0
"Aviator, The (2004)",Drama,1,2,7,22,3
"Awakening, The (1980)",Horror,0,0,1,0,0
Away from Her (2006),Drama,0,0,2,1,1
"Awfully Big Adventure, An (1995)",Drama,0,0,0,0,1
B*A*P*S (1997),Comedy,1,1,0,0,0
BASEketball (1998),Comedy,0,3,4,7,0
Baadasssss! (How to Get the Man's Foot Outta Your Ass) (2003),Drama,0,0,1,3,0
"Babe, The (1992)",Drama,0,1,1,0,0
Babette's Feast (Babettes gæstebud) (1987),Drama,0,0,0,2,3
Baby Boom (1987),Comedy,0,0,1,1,0
Baby Geniuses (1999),Comedy,1,2,0,0,0
Baby Mama (2008),Comedy,1,1,4,3,2
Baby's Day Out (1994),Comedy,1,1,0,0,0
"Baby, The (1973)",Horror,0,1,0,0,0
"Baby-Sitters Club, The (1995)",Children,0,1,3,1,0
Babylon 5,Sci-Fi,1,0,0,1,0
Babylon 5: The Gathering (1993),Sci-Fi,0,0,0,1,0
Babylon 5: The Legend of the Rangers: To Live and Die in Starlight (2002),Sci-Fi,0,0,0,1,0
Babylon 5: The Lost Tales - Voices in the Dark (2007),Sci-Fi,0,0,0,1,0
Bachelor Party (1984),Comedy,1,1,1,1,1
"Bachelor and the Bobby-Soxer, The (1947)",Comedy,0,0,2,1,0
Back to School (1986),Comedy,1,3,7,5,0
Back to the Beach (1987),Comedy,0,3,0,0,0
Bad Boy Bubby (1993),Drama,0,0,0,0,3
Bad Girls (1994),Western,1,3,3,1,0
Bad Karma (2012),Thriller,0,1,0,0,0
Bad Moms (2016),Comedy,0,0,0,2,1
"Bad News Bears, The (1976)",Comedy,0,1,3,4,1
Bad Santa 2 (2016),Comedy,1,0,0,0,0
Bad Teacher (2011),Comedy,1,2,1,4,1
Bad Words (2013),Comedy,1,0,2,0,0
"Bad and the Beautiful, The (1952)",Drama,0,0,0,1,0
"Ballad of Jack and Rose, The (2005)",Drama,0,0,3,1,0
"Ballad of Narayama, The (Narayama bushiko) (1983)",Drama,0,0,0,0,1
Balls Out: Gary the Tennis Coach (2009),Comedy,0,1,0,0,0
Balls of Fury (2007),Comedy,0,1,1,1,0
"Bamba, La (1987)",Drama,0,1,5,1,0
Bamboozled (2000),Comedy,1,1,2,4,0
Banana Joe (1981),Comedy,0,0,2,0,0
"Bang, Bang, You're Dead (2002)",Drama,0,0,0,2,0
"Bank Dick, The (1940)",Comedy,0,1,1,0,0
Baraka (1992),Documentary,0,0,1,1,2
Barbarians at the Gate (1993),Drama,0,0,2,0,0
Barbershop (2002),Comedy,0,2,4,1,0
Barbershop 2: Back in Business (2004),Comedy,1,1,0,1,0
Barbershop: The Next Cut (2016),Comedy,0,0,1,0,0
"Barefoot Contessa, The (1954)",Drama,0,0,1,0,0
Barefoot in the Park (1967),Comedy,0,0,5,3,0
Barney's Version (2010),Drama,0,0,0,1,0
"Basketball Diaries, The (1995)",Drama,0,1,5,7,2
Basquiat (1996),Drama,1,1,1,3,0
Bastard Out of Carolina (1996),Drama,0,0,0,2,0
Battle Beyond the Stars (1980),Sci-Fi,0,0,1,0,0
Battle for Haditha (2007),War,0,0,0,1,0
Be Kind Rewind (2008),Comedy,0,1,3,5,1
Bean (1997),Comedy,1,3,7,4,1
"Beast Within, The (1982)",Horror,0,2,0,0,0
"Beat That My Heart Skipped, The (battre mon coeur s'est arrêté, De) (2005)",Drama,0,0,2,0,0
Beautiful Boy (2010),Drama,0,0,0,1,0
Beautiful Losers (2008),Documentary,0,0,1,0,0
Beautiful People (1999),Comedy,0,0,0,0,2
Beauty Shop (2005),Comedy,0,1,0,0,0
Beauty of the Day (Belle de jour) (1967),Drama,0,0,3,7,2
Bedazzled (2000),Comedy,0,5,11,11,0
Beer League (2006),Comedy,0,0,0,1,0
Beerfest (2006),Comedy,0,0,2,3,1
Before Night Falls (2000),Drama,0,0,0,3,2
Before We Go (2014),Romance,0,0,0,1,0
Beginners (2010),Drama,0,0,0,4,0
Beginning of the End (1957),Sci-Fi,1,0,0,0,0
Behind the Candelabra (2013),Drama,0,0,1,0,0
Beijing Bicycle (Shiqi sui de dan che) (2001),Drama,0,0,0,1,0
Being Elmo: A Puppeteer's Journey (2011),Documentary,0,0,0,1,0
Being Human (1993),Drama,0,0,2,0,0
"Believer, The (2001)",Drama,0,0,0,4,2
"Bells of St. Mary's, The (1945)",Drama,0,0,0,1,0
Beloved (1998),Drama,0,0,0,1,1
Below (2002),Horror,0,0,0,1,0
Ben X (2007),Drama,0,0,0,1,0
"Benchwarmers, The (2006)",Comedy,1,1,6,3,0
Besieged (a.k.a. L' Assedio) (1998),Drama,0,0,1,1,0
"Best Offer, The (Migliore offerta, La) (2013)",Thriller,0,0,1,1,3
Best Seller (1987),Thriller,0,0,0,1,0
Best Worst Movie (2009),Documentary,0,0,0,1,0
Best in Show (2000),Comedy,1,1,15,23,13
"Best of Youth, The (La meglio gioventù) (2003)",Drama,0,0,0,0,2
Best of the Best (1989),Action,0,0,1,0,0
Best of the Best 3: No Turning Back (1995),Action,0,1,1,0,0
Betsy's Wedding (1990),Comedy,0,1,0,0,0
Better Living Through Circuitry (1999),Documentary,0,1,0,0,0
Betting on Zero (2016),Documentary,0,0,0,1,0
Between the Folds (2008),Documentary,0,0,1,0,0
"Beverly Hillbillies, The (1993)",Comedy,3,4,8,3,2
Beyond Re-Animator (2003),Horror,0,0,1,0,0
Beyond Silence (Jenseits der Stille) (1996),Drama,0,0,0,0,1
Beyond the Mat (1999),Documentary,0,0,1,4,0
Beyond the Poseidon Adventure (1979),Adventure,1,1,1,0,0
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),Drama,1,0,2,3,10
"Big Bird Cage, The (1972)",Action,0,0,0,0,1
Big Business (1988),Comedy,1,1,0,1,0
Big Daddy (1999),Comedy,2,6,15,23,2
"Big Doll House, The (1971)",Action,0,0,1,0,0
Big Eyes (2014),Drama,0,0,0,2,0
Big Momma's House (2000),Comedy,4,5,6,2,0
"Big Mommas: Like Father, Like Son (2011)",Comedy,1,0,0,0,0
"Big Short, The (2015)",Drama,0,0,7,8,11
Big Stan (2007),Comedy,0,0,2,0,0
"Big Tease, The (1999)",Comedy,0,0,1,1,0
"Big Year, The (2011)",Comedy,0,0,1,2,1
"Bigger, Stronger, Faster* (2008)",Documentary,0,0,0,1,0
Bikini Beach (1964),Comedy,1,0,0,0,0
Bill Burr: I'm Sorry You Feel That Way (2014),Comedy,0,0,0,0,1
Bill Burr: Let It Go (2010),Comedy,0,0,0,0,1
Bill Burr: Walk Your Way Out (2017),Comedy,0,0,0,1,0
Bill Burr: Why Do I Do This? (2008),Comedy,0,0,0,0,1
Bill Burr: You People Are All the Same (2012),Comedy,0,0,0,0,1
Bill Cunningham New York (2011),Documentary,0,0,0,0,1
Bill Hicks: Revelations (1993),Comedy,0,0,0,0,1
Billabong Odyssey (2003),Documentary,0,0,0,1,0
Billy Elliot (2000),Drama,1,1,3,23,9
Billy Jack Goes to Washington (1977),Drama,0,1,0,0,0
Billy Liar (1963),Comedy,0,0,0,1,0
Billy Madison (1995),Comedy,3,5,17,16,8
Bio-Dome (1996),Comedy,6,7,13,3,2
"Birdcage, The (1996)",Comedy,3,3,32,40,8
Birdman of Alcatraz (1962),Drama,0,0,0,1,0
Bitter Lake (2015),Documentary,0,0,0,0,1
Biutiful (2010),Drama,0,0,0,1,1
Black Narcissus (1947),Drama,0,0,0,1,0
"Black Sabbath (Tre volti della paura, I) (1963)",Horror,0,0,0,1,0
Black Sheep (1996),Comedy,1,3,4,6,2
Black Snake Moan (2006),Drama,0,0,2,2,0
Black Tar Heroin: The Dark End of the Street (2000),Documentary,0,0,0,0,1
Blackadder Back & Forth (1999),Comedy,0,0,1,1,0
Blackadder's Christmas Carol (1988),Comedy,0,0,1,0,0
Blackboard Jungle (1955),Drama,0,0,1,1,0
Blackfish (2013),Documentary,0,1,0,1,0
Blade Runner 2049 (2017),Sci-Fi,1,0,3,7,7
Blame It on the Bellboy (1992),Comedy,0,1,0,0,0
Blankman (1994),Comedy,0,1,0,0,0
Blended (2014),Comedy,0,1,0,5,2
Bless the Child (2000),Thriller,0,0,0,1,0
"Blind Side, The  (2009)",Drama,1,3,3,17,7
Blind Spot: Hitler's Secretary (Im toten Winkel - Hitlers Sekretärin) (2002),Documentary,0,0,1,0,0
Blink (1994),Thriller,0,0,4,1,0
Bliss (2012),Drama,0,0,0,0,1
Blockers (2018),Comedy,0,0,1,0,0
Blood Creek (a.k.a. Town Creek) (2009),Horror,0,0,1,0,0
Blood Feast (1963),Horror,0,0,0,1,0
Blood for Dracula (Andy Warhol's Dracula) (1974),Horror,0,1,0,1,0
Bloodsport (1988),Action,0,3,3,2,1
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),Action,0,3,4,0,1
Bloody Sunday (2002),Drama,0,0,2,3,0
Blow-Out (La grande bouffe) (1973),Drama,0,0,0,1,1
"Blue Angel, The (Blaue Engel, Der) (1930)",Drama,0,0,0,1,0
Blue Car (2002),Drama,0,0,1,2,0
Blue Chips (1994),Drama,1,1,1,0,0
Blue Jasmine (2013),Drama,0,0,3,0,1
Blue Mountain State: The Rise of Thadland (2015),Comedy,0,0,1,0,0
Blue Planet II (2017),Documentary,0,0,0,0,1
Blue Ruin (2013),Thriller,0,0,0,1,0
Blue Streak (1999),Comedy,0,4,4,1,0
Bo Burnham: Make Happy (2016),Comedy,0,0,1,0,0
Boat Trip (2003),Comedy,0,3,0,1,0
Bob Roberts (1992),Comedy,0,1,10,5,1
Bobby (2006),Drama,0,0,0,2,1
"Bobby Jones, Stroke of Genius (2004)",Drama,0,0,1,0,0
Body Shots (1999),Drama,0,0,1,0,0
"Bone Collector, The (1999)",Thriller,5,2,7,11,0
Bones (2001),Horror,2,0,1,0,0
"Boogeyman, The (1980)",Horror,0,0,1,0,0
Boogie Nights (1997),Drama,0,1,4,19,15
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),Comedy,6,3,19,24,13
Born Yesterday (1950),Comedy,0,0,0,5,2
Born in East L.A. (1987),Comedy,0,1,0,0,0
Born into Brothels (2004),Documentary,0,0,1,2,1
Boudu Saved From Drowning (Boudu sauvé des eaux) (1932),Comedy,1,0,0,0,0
Bowfinger (1999),Comedy,3,8,14,11,2
Bowling for Columbine (2002),Documentary,1,0,10,33,14
Boxcar Bertha (1972),Drama,0,1,0,0,0
Boy Meets Girl (1984),Drama,0,0,1,0,0
"Boy and His Dog, A (1975)",Sci-Fi,0,0,0,2,1
Boyhood (2014),Drama,1,0,2,7,7
Boys (1996),Drama,0,2,0,0,0
Boys Don't Cry (1999),Drama,3,3,7,17,9
Boys Life (1995),Drama,0,1,0,1,0
Boys Town (1938),Drama,0,0,0,1,0
"Boys of Baraka, The (2005)",Documentary,0,0,0,1,0
"Boys of St. Vincent, The (1992)",Drama,0,0,0,2,0
"Boys, The (1998)",Drama,0,1,0,0,0
"Brady Bunch Movie, The (1995)",Comedy,4,5,20,7,0
Brainstorm (2001),Drama,0,0,1,0,0
"Brandon Teena Story, The (1998)",Documentary,0,1,0,0,0
Brave New World (1998),Sci-Fi,0,1,0,0,0
Bread and Roses (2000),Drama,0,0,0,3,0
Breakin' 2: Electric Boogaloo (1984),Musical,1,1,1,0,0
Breathe (2014),Drama,1,0,0,0,0
Brewster's Millions (1985),Comedy,0,2,4,2,0
"Brice Man, The (Brice de Nice) (2005)",Comedy,0,0,0,1,0
Bridesmaids (2011),Comedy,0,2,3,11,5
"Bridge, The (2006)",Documentary,0,0,0,1,0
"Brief History of Time, A (1991)",Documentary,0,0,1,1,0
"Bright Lights, Big City (1988)",Drama,0,1,1,0,1
Brighton Beach Memoirs (1986),Comedy,0,0,2,3,0
Bring It On (2000),Comedy,4,7,13,9,1
Bring It On Again (2004),Comedy,0,2,0,0,0
Bring It On: All or Nothing (2006),Comedy,0,1,0,0,0
Bring It On: Fight to the Finish (2009),Comedy,0,1,0,0,0
Bring It On: In It To Win It (2007),Comedy,0,1,0,0,0
Bringing Down the House (2003),Comedy,1,2,3,0,0
Bringing Out the Dead (1999),Drama,0,1,1,4,0
Broadway Danny Rose (1984),Comedy,0,0,0,4,1
"Broadway Melody, The (1929)",Musical,0,0,1,0,0
Brokedown Palace (1999),Drama,1,0,1,1,1
Broken (2012),Drama,0,0,0,0,1
Broken English (1996),Drama,1,0,0,0,0
"Broken Hearts Club, The (2000)",Drama,0,0,0,1,0
Broken Wings (Knafayim Shvurot) (2002),Drama,0,0,1,0,0
"Bronx Tale, A (1993)",Drama,0,0,7,7,4
"Brood, The (1979)",Horror,0,0,1,0,0
Bros Before Hos (2013),Comedy,0,0,1,0,0
Brother's Keeper (1992),Documentary,0,0,0,1,1
Brothers (Brødre) (2004),Drama,0,0,0,1,1
"Brothers McMullen, The (1995)",Comedy,0,2,4,5,1
"Brothers Solomon, The (2007)",Comedy,1,0,0,0,0
"Brown Bunny, The (2003)",Drama,0,0,1,1,0
Brown Sugar (2002),Romance,0,1,0,0,0
"Browning Version, The (1994)",Drama,0,0,1,1,0
Bruce Lee: A Warrior's Journey (2000),Documentary,0,0,0,1,0
Brüno (Bruno) (2009),Comedy,0,1,2,4,3
Bubble Boy (2001),Comedy,1,6,2,0,0
Buck Rogers in the 25th Century (1979),Sci-Fi,0,0,1,0,0
"Buddy Holly Story, The (1978)",Drama,0,0,1,4,0
Bullets Over Broadway (1994),Comedy,1,4,8,9,8
Bully (2011),Documentary,0,0,0,2,0
Bunny (1998),Animation,1,0,0,0,0
Burden of Dreams (1982),Documentary,0,0,0,2,0
Burma VJ: Reporting from a Closed Country (Burma VJ: Reporter i et lukket land) (2008),Documentary,0,0,0,1,0
Burnt (2015),Drama,0,2,1,0,0
Burnt Offerings (1976),Horror,0,0,1,0,1
Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,1,0,1,0,4
Bush's Brain (2004),Documentary,0,0,1,0,0
Bustin' Loose (1981),Comedy,0,1,0,0,0
But I'm a Cheerleader (1999),Comedy,1,1,0,2,0
Butterfield 8 (1960),Drama,0,0,1,0,0
Butterfly (La lengua de las mariposas) (1999),Drama,0,0,1,0,1
By the Law (1926),Drama,0,0,0,1,0
C.R.A.Z.Y. (2005),Drama,0,0,0,2,0
CB4 - The Movie (1993),Comedy,1,1,0,3,0
CQ (2001),Drama,0,0,1,0,0
Cabin Boy (1994),Comedy,1,3,2,0,0
Caddyshack (1980),Comedy,1,5,8,22,16
Caddyshack II (1988),Comedy,1,2,0,0,0
"Cage aux Folles, La (1978)",Comedy,0,0,1,0,0
Cake (2014),Drama,0,0,2,0,0
"Calcium Kid, The (2004)",Comedy,0,0,0,0,1
Calendar Girls (2003),Comedy,3,0,2,2,1
Caligula (1979),Drama,1,0,0,0,0
Callas Forever (2002),Drama,0,0,1,0,0
Camera Buff (Amator) (1979),Drama,0,0,1,0,0
Camille Claudel (1988),Drama,0,0,0,2,0
Camp X-Ray (2014),Drama,0,0,0,1,0
"Campaign, The (2012)",Comedy,0,0,4,4,1
Campfire Tales (1997),Horror,0,0,0,1,0
Campus Man (1987),Comedy,1,0,0,0,0
"Candidate, The (1972)",Drama,0,0,2,4,0
Candyman 3: Day of the Dead (1999),Horror,0,0,1,0,0
Cannibal Holocaust (1980),Horror,0,1,1,1,0
Cape Fear (1991),Thriller,0,0,7,13,5
Captain Fantastic (2016),Drama,0,0,0,0,5
Capturing the Friedmans (2003),Documentary,0,1,0,3,3
Car Wash (1976),Comedy,0,0,1,0,1
Career Girls (1997),Drama,0,0,0,2,1
Careful What You Wish For (2015),Thriller,0,1,0,0,0
Cargo (2009),Sci-Fi,0,0,0,1,0
Carry On Don't Lose Your Head (1966),Comedy,0,0,0,1,0
Cast Away (2000),Drama,0,4,22,51,23
Castle Freak (1995),Horror,0,0,1,0,0
"Castle, The (1997)",Comedy,0,0,2,3,0
Cat on a Hot Tin Roof (1958),Drama,0,0,2,3,5
Cat's Eye (1985),Horror,0,3,3,0,0
Cats (1998),Musical,0,0,0,1,0
Catwalk (1996),Documentary,0,0,0,1,0
Cave of Forgotten Dreams (2010),Documentary,0,0,1,0,0
Caveman (1981),Comedy,0,2,0,1,0
"Caveman's Valentine, The (2001)",Drama,0,0,1,1,0
Cecil B. DeMented (2000),Comedy,0,1,1,2,1
Cedar Rapids (2011),Comedy,0,1,1,0,0
"Celebration, The (Festen) (1998)",Drama,0,0,1,2,9
Celebrity (1998),Comedy,1,0,3,1,0
"Celluloid Closet, The (1995)",Documentary,0,0,1,2,1
Celtic Pride (1996),Comedy,0,3,5,0,0
"Cement Garden, The (1993)",Drama,0,0,0,1,1
Cemetery Man (Dellamorte Dellamore) (1994),Horror,0,0,1,5,1
"Center of the World, The (2001)",Drama,0,0,2,0,1
Central Station (Central do Brasil) (1998),Drama,0,0,0,3,3
"Century of the Self, The (2002)",Documentary,0,0,0,2,0
Certified Copy (Copie conforme) (2010),Drama,0,0,0,1,0
Cesar Chavez (2014),Drama,0,1,0,0,0
Chairman of the Board (1998),Comedy,0,1,0,0,0
"Chamber, The (1996)",Drama,0,1,0,4,0
